15.9129, 79.7400, Andhra Pradesh
28.2180, 94.7278, Arunachal Pradesh
26.2006, 92.9376, Assam
25.0961, 85.3131, Bihar
21.2787, 81.8661, Chhattisgarh
15.2993, 74.1240, Goa
22.2587, 71.1924, Gujarat
29.0588, 76.0856, Haryana
31.1048, 77.1734, Himachal Pradesh
23.6102, 85.2799, Jharkhand
15.3173, 75.7139, Karnataka
10.8505, 76.2711, Kerala
22.9734, 78.6569, Madhya Pradesh
19.7515, 75.7139, Maharashtra
24.6637, 93.9063, Manipur
25.4670, 91.3662, Meghalaya
23.1645, 92.9376, Mizoram
26.1584, 94.5624, Nagaland
20.9517, 85.0985, Odisha
31.1471, 75.3412, Punjab
27.0238, 74.2179, Rajasthan
27.5330, 88.5122, Sikkim
11.1271, 78.6569, Tamil Nadu
18.1124, 79.0193, Telangana
23.9408, 91.9882, Tripura
26.8467, 80.9462, Uttar Pradesh
30.0668, 79.0193, Uttarakhand
22.9868, 87.8550, West Bengal
11.7401, 92.6586, Andaman and Nicobar Islands
30.7333, 76.7794, Chandigarh
20.1809, 73.0169, Dadra and Nagar Haveli and Daman and Diu
10.3280, 72.7846, Lakshadweep
28.7041, 77.1025, Delhi
11.9416, 79.8083, Puducherry
33.2778, 75.3412, Jammu and Kashmir
34.1526, 77.5770, Ladakh 
